id,name,popularity
2Fxmhks0bxGSBdJ92vM42m,bad guy,97
6MWtB6iiXyIwun0YzU6DFP,Wow.,89
4y3OI86AEP6PQoDE6olYhO,Sucker,89
5p7ujcrUXASCNwRaWNHR1C,Without Me,88
6u7jPi22kF8CTQ3rb9DHE7,Old Town Road - Remix,96
3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),97
6LsAAHotRLMOHfCsSfYCsz,If I Can't Have You,92
4MsUsFfWseB9M2plGJyuIw,ME! (feat. Brendon Urie of Panic! At The Disco),88
2gOlrge3YTmYPwsCGgU62K,Every time we touch,18
4ycxTFeO4ZADJwJZaMGMYb,Mr. Saxobeat - Radio Edit,6
3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us - feat. Ray Dalton,79
5ka2ajep9OAvU5Sgduhiex,Applause,67
4TsmezEQVSZNNPv5RJ65Ov,Pon de Replay,72
7qiZfU4dY1lWllzX7mPBI3,Shape of You,84
4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),73
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,80
6b8Be6ljOzmkOmFslEb23P,24K Magic,76
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk,78
0tgVpDi06FyKpA1z0VMD4v,Perfect,85
6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",76
27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,74
5b88tNINg4Q4nrRbrCXUmg,"Happy - From ""Despicable Me 2""",76
5jE48hhRu8E6zBDPRSkEq7,All About That Bass,66
01XFgRZfZI7oBagNf1Loml,Harlem Shake,56
4VC5nFbYO4avKksJ9jN4pY,Just Give Me a Reason (feat. Nate Ruess),61
6F5c58TMEs1byxUstkzVeM,Roar,74
2VxeLyX666F8uXCJ0dZF8B,Shallow,88
7FGq80cy8juXBCD2nrqdWU,Eastside (with Halsey & Khalid),78
2XWjPtKdi5sucFYtVav07d,365,77
4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",85
79esEXlqqmq0GPz0xQSZTV,Lost In Japan,79
3Vo4wInECJQuz9BIBMOu8i,Finesse - Remix; feat. Cardi B,76
7y9iMe8SOB6z3NoHE2OfXl,Bad At Love,76
6Qn5zhYkTa37e91HC1D7lb,Whatever It Takes,80
1zB4vmk8tFRmM9UULNzbLB,Thunder,84
514rhnksEwHUh6LxXsQ4Y9,Back To You,73
2QZ7WLBE8h2y1Y5Fb8RYbH,In My Blood,81
275a9yzwGB6ncAW4SxY7q3,Panda,68
6Knv6wdA0luoMUuuoYi2i1,My House,73
76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,78
